eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/std,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/policy_gradient_loss
346.6,732.4085762976174,943000,,,,,,3.162323474884033,4600,3.942257881164551,0.2,0.41567296,0.0003,0.7627743184566498,-5.001897682249546,0.62060546875,64.31046230047941,0.057343869308533614
278.2,519.7136897316275,944000,,,,,,,,,,,,,,,,
,,944624,398.35,27,29042,388,688.0758163400001,,,,,,,,,,,
385.2,739.51763362829,945000,,,,,,3.198854446411133,4610,8.64024829864502,0.2,0.2223382,0.0003,0.8138103932142258,-5.023975194990635,0.5486328125,111.8095253765583,0.036115526949288324
327.0,636.8092367787685,946000,,,,,,,,,,,,,,,,
,,946672,369.21,27,29124,389,660.14664401,,,,,,,,,,,
226.8,483.38891335844164,947000,,,,,,3.2461278438568115,4620,7.100050926208496,0.2,0.17854552,0.0003,0.8156164437532425,-5.051954998075962,0.547802734375,134.84087380468844,0.04038921298633795
213.4,441.7168422860079,948000,,,,,,,,,,,,,,,,
,,948720,347.87,27,29194,390,637.0347541900001,,,,,,,,,,,
231.2,490.20906762156517,949000,,,,,,3.271714210510254,4630,14.88400650024414,0.2,0.14035456,0.0003,0.8482196778059006,-5.075049690902233,0.520654296875,120.77865522205829,0.028541852756461594
257.0,558.5318824755362,950000,,,,,,,,,,,,,,,,
,,950768,330.95,27,29265,391,620.8846153800001,,,,,,,,,,,
300.4,600.2863088013452,951000,,,,,,3.267942428588867,4640,14.374813079833984,0.2,0.21080032,0.0003,0.7957214862108231,-5.079656504094601,0.531591796875,176.75156918168068,0.0558920766459778
296.4,575.568198787827,952000,,,,,,,,,,,,,,,,
,,952816,318.07,27,29339,392,610.0336801799999,,,,,,,,,,,
441.0,754.5760043688882,953000,,,,,,3.2867140769958496,4650,19.53863525390625,0.2,0.1777857,0.0003,0.8602730929851532,-5.086141309142112,0.537890625,99.98025429546833,0.03740839157253504
377.4,691.4336201509984,954000,,,,,,,,,,,,,,,,
,,954864,323.95,27,29425,393,625.2727629500001,,,,,,,,,,,
305.0,557.8815041852125,955000,,,,,,3.302726984024048,4660,12.982234954833984,0.2,0.24397364,0.0003,0.879494771361351,-5.088603129982948,0.5453125,72.54268336892127,0.026582362913177348
411.2,687.6751301178767,956000,,,,,,,,,,,,,,,,
,,956912,318.91,27,29505,394,618.74344721,,,,,,,,,,,
432.0,759.9891476147757,957000,,,,,,3.3364689350128174,4670,24.144681930541992,0.2,0.44002616,0.0003,0.7934902608394623,-5.097229172289372,0.602490234375,122.79523524343968,0.04326322048000293
514.0,877.4128558119185,958000,,,,,,,,,,,,,,,,
,,958960,324.22,27,29593,395,625.3743249,,,,,,,,,,,
432.2,741.7726654035599,959000,,,,,,3.3608508110046387,4680,2.6526966094970703,0.2,0.3234663,0.0003,0.8513433188199997,-5.119333575665951,0.5740234375,61.862694001197816,0.045935892729903574
466.2,774.0598598978846,960000,,,,,,,,,,,,,,,,
444.2,738.9643428439216,961000,,,,,,,,,,,,,,,,
,,961008,331.75,27,29708,396,635.8061106299999,,,,,,,,,,,
407.8,687.2884624501057,962000,,,,,,3.427516460418701,4690,2.5314853191375732,0.2,0.39498878,0.0003,0.8295883983373642,-5.149141600728035,0.58916015625,50.22212317585945,0.03087197652203031
377.0,660.1694654305575,963000,,,,,,,,,,,,,,,,
,,963056,331.84,27,29791,397,629.86640165,,,,,,,,,,,
391.0,682.8179479221202,964000,,,,,,3.38542103767395,4700,5.126166820526123,0.2,0.85321385,0.0003,0.8459642827510834,-5.152295780181885,0.536328125,76.73291241973638,0.012510448790271767
365.8,626.5394789563222,965000,,,,,,,,,,,,,,,,
,,965104,323.44,27,29873,398,609.7735949400001,,,,,,,,,,,
