train/actor_loss,train/n_updates,train/ent_coef,time/total_timesteps,train/learning_rate,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
-23.585033416748047,10504,0.05679265037178993,10605,0.0003,15,176,61.11,36.94308598,3.0416061878204346,-2.7153003215789795,673,,
-24.06740951538086,10899,0.05223361775279045,11000,0.0003,,,,,3.5345396995544434,-3.1088063716888428,,214.0,127.95081781683439
-24.819231033325195,10970,0.05148046091198921,11071,0.0003,15,180,63.42,37.485424329999994,3.085081100463867,-3.4897522926330566,709,,
-27.570316314697266,11276,0.048285745084285736,11377,0.0003,15,184,63.91,37.369838949999995,1.5082156658172607,-1.940360426902771,723,,
-26.532960891723633,11576,0.045649636536836624,11677,0.0003,15,188,64.65,37.05548039999999,1.8567283153533936,-1.4894506931304932,736,,
-24.988834381103516,11899,0.04291573539376259,12000,0.0003,,,,,1.943115234375,-1.2396680116653442,,169.0,169.18090841206904
-24.022979736328125,12023,0.04199882969260216,12124,0.0003,15,192,67.15,37.92817216,2.230966091156006,-1.7309207916259766,770,,
-25.561140060424805,12413,0.038980286568403244,12514,0.0003,15,196,68.99,38.255054449999996,1.3356938362121582,-2.2731733322143555,786,,
-26.31833267211914,12794,0.03614596650004387,12895,0.0003,16,200,70.04,38.508587819999995,1.2750282287597656,-1.9934041500091553,801,,
-27.686325073242188,12899,0.0354098416864872,13000,0.0003,,,,,2.410860061645508,-1.429924488067627,,174.8,114.61877659631173
-26.8518123626709,13192,0.033529698848724365,13293,0.0003,15,204,71.41,37.81204938999999,1.8425118923187256,-2.3431782722473145,833,,
-27.821533203125,13569,0.03158982843160629,13670,0.0003,16,208,73.55,38.5527823,1.5844535827636719,-1.4604628086090088,849,,
-27.215286254882812,13899,0.03007621504366398,14000,0.0003,,,,,1.0317378044128418,-1.160304307937622,,194.2,143.8197073867006
-27.549488067626953,14022,0.02946140617132187,14123,0.0003,15,212,76.27,40.389867409999994,0.971458911895752,-1.3640804290771484,884,,
-25.815509796142578,14362,0.028184905648231506,14463,0.0003,16,216,78.54,42.05960712000001,1.135726809501648,-0.4555256962776184,898,,
-28.003400802612305,14732,0.026858799159526825,14833,0.0003,16,220,81.03,43.34008321,0.9820917844772339,-0.7154027223587036,913,,
-26.957752227783203,14899,0.026256052777171135,15000,0.0003,,,,,0.76233971118927,-1.572718620300293,,161.0,88.0570883427783
-28.196514129638672,15222,0.025491809472441673,15323,0.0003,16,224,84.51,44.94844507,0.6816112995147705,-0.9791420698165894,948,,
-30.579051971435547,15623,0.024492505937814713,15724,0.0003,16,228,87.42,46.473816799999994,1.153880000114441,-1.0223393440246582,964,,
-28.56522560119629,15899,0.02438526228070259,16000,0.0003,,,,,1.4020609855651855,-0.3587947189807892,,191.4,133.48329870826745
-28.48365020751953,16022,0.024595722556114197,16123,0.0003,16,232,90.01,48.26874688,0.8230919241905212,-0.29636266827583313,997,,
-29.11147689819336,16484,0.02598140574991703,16585,0.0003,16,236,93.19,50.686145130000014,1.0874664783477783,-0.04549500346183777,1015,,
-27.99689292907715,16899,0.02715397998690605,17000,0.0003,,,,,1.1654012203216553,0.7502435445785522,,180.6,252.26682463009237
-27.382116317749023,16973,0.027553999796509743,17074,0.0003,16,240,96.5,52.84352604,0.9383879899978638,0.834980309009552,1050,,
-28.286855697631836,17377,0.028894394636154175,17478,0.0003,16,244,98.83,54.586562480000005,1.7238452434539795,1.3032830953598022,1067,,
-31.551118850708008,17770,0.031332459300756454,17871,0.0003,16,248,100.04,55.03605785,1.0233993530273438,0.6316928863525391,1083,,
-30.64883804321289,17899,0.03194309398531914,18000,0.0003,,,,,0.7162654399871826,-0.18210469186306,,193.8,244.53342547114443
-29.845182418823242,18156,0.03302507475018501,18257,0.0003,16,252,101.22,56.69120059,1.5745298862457275,0.24842627346515656,1115,,
-31.223033905029297,18515,0.034379877150058746,18616,0.0003,16,256,100.55,57.45985477999999,1.417187213897705,0.46027761697769165,1131,,
-29.318927764892578,18871,0.03609712794423103,18972,0.0003,16,260,98.58,58.22912486999999,0.852864146232605,-0.3495284914970398,1145,,
-29.352903366088867,18899,0.0361071452498436,19000,0.0003,,,,,0.8070483207702637,0.5000118017196655,,186.0,240.32615477712244
-28.79500961303711,19252,0.03796302154660225,19353,0.0003,16,264,98.06,60.60020968,1.057098150253296,0.392339825630188,1178,,
-30.77719497680664,19553,0.03892022371292114,19654,0.0003,16,268,97.81,61.18666654,0.9449645280838013,0.22463874518871307,1191,,
-32.13802719116211,19899,0.0392654687166214,20000,0.0003,,,,,0.8820474147796631,-0.7474366426467896,,194.0,248.7205927225241
-32.089393615722656,19960,0.03933602198958397,20061,0.0003,16,272,97.89,63.77921194999999,1.539101004600525,-0.09720975160598755,1225,,
-30.491687774658203,20272,0.03953181579709053,20373,0.0003,16,276,97.68,65.99781037999999,0.9717915058135986,0.04192443937063217,1238,,
-32.97419738769531,20620,0.03987882658839226,20721,0.0003,16,280,96.5,68.10273216,0.7953773736953735,0.9443032741546631,1253,,
-33.495460510253906,20899,0.04023773595690727,21000,0.0003,,,,,0.8688269257545471,0.7820124626159668,,204.2,217.15125748233405
-34.11503219604492,20975,0.04051535576581955,21076,0.0003,16,284,96.99,70.56785320000002,0.9508731365203857,-0.4158182442188263,1286,,
-34.535850524902344,21304,0.04156727343797684,21405,0.0003,16,288,97.28,72.64846716000001,1.4639617204666138,-0.4601830244064331,1300,,
-33.2265739440918,21651,0.04282107576727867,21752,0.0003,16,292,96.28,74.09706633,1.0564507246017456,-0.0498223602771759,1315,,
-32.375953674316406,21899,0.0431482195854187,22000,0.0003,,,,,0.8730647563934326,0.5523717999458313,,189.8,246.2263493478822
-35.95288848876953,21969,0.04345618560910225,22070,0.0003,16,296,95.56,74.96258902,1.341294527053833,0.1623629629611969,1345,,
-33.587257385253906,22320,0.04478911682963371,22421,0.0003,16,300,95.26,76.16217350000001,1.0421483516693115,0.05195435881614685,1360,,
-32.338706970214844,22660,0.044713959097862244,22761,0.0003,16,304,94.68,78.06804062,1.3009388446807861,-0.06538920104503632,1375,,
-36.581092834472656,22899,0.04502464085817337,23000,0.0003,,,,,0.8851004838943481,0.5453752875328064,,210.2,285.83543226594776
-36.64844512939453,23059,0.04569203034043312,23160,0.0003,16,308,94.9,80.11667843000001,1.0813138484954834,-0.6621252298355103,1409,,
-34.787681579589844,23337,0.04610728099942207,23438,0.0003,16,312,93.15,80.21822051,0.806025505065918,-0.29883840680122375,1422,,
-36.80121612548828,23689,0.04613953456282616,23790,0.0003,16,316,93.27,81.52125586,1.1523209810256958,0.6460863947868347,1436,,
-37.528724670410156,23899,0.04592668637633324,24000,0.0003,,,,,1.1034786701202393,0.23319455981254578,,207.0,298.46984018131405
-36.45426940917969,24081,0.046207599341869354,24182,0.0003,16,320,93.49,83.77244402000001,1.4586536884307861,0.12747785449028015,1470,,
-37.41729736328125,24425,0.04610488563776016,24526,0.0003,16,324,92.03,84.66800246999999,0.9598764777183533,-0.4464564621448517,1485,,
-35.25761032104492,24881,0.045948732644319534,24982,0.0003,16,328,92.58,86.97358008,1.1257010698318481,0.09077136218547821,1503,,
-38.41613006591797,24899,0.045848459005355835,25000,0.0003,,,,,1.1298518180847168,0.05728158354759216,,285.4,301.44218529777646
-37.66443634033203,25315,0.044995442032814026,25416,0.0003,16,332,92.93,88.62399009,2.024444818496704,0.27594637870788574,1542,,
-39.698509216308594,25749,0.046011656522750854,25850,0.0003,16,336,92.65,89.37755080999999,0.9739673137664795,-0.02288157492876053,1559,,
-38.64772033691406,25899,0.04626702144742012,26000,0.0003,,,,,0.8739973306655884,-0.08295285701751709,,264.0,271.0916768859923
-40.274513244628906,26246,0.048021312803030014,26347,0.0003,16,340,92.73,91.08569596000002,1.6833066940307617,0.05120190978050232,1598,,
-41.40050506591797,26632,0.04927634820342064,26733,0.0003,16,344,92.55,91.71196588000001,1.7673701047897339,0.006433591246604919,1614,,
-39.57644271850586,26899,0.0499197393655777,27000,0.0003,,,,,1.158129334449768,0.5287876129150391,,253.8,301.4494345729836
-37.94960021972656,27082,0.05101446434855461,27183,0.0003,16,348,93.12,93.21059633,0.8911114931106567,-0.3318096399307251,1652,,
-42.429195404052734,27543,0.05194883793592453,27644,0.0003,16,352,93.87,93.77235062,0.9739831686019897,0.5896442532539368,1670,,
-40.96113586425781,27899,0.0523420013487339,28000,0.0003,,,,,1.051285982131958,0.638861358165741,,254.8,265.407984763867
-41.62956237792969,28036,0.05253797769546509,28137,0.0003,16,356,95.21,95.09611096,1.0220069885253906,-0.3534048795700073,1709,,
-42.6614875793457,28477,0.0543229915201664,28578,0.0003,16,360,96.06,95.96191098000001,2.259737968444824,0.4787063002586365,1726,,
