eval/mean_reward,time/total_timesteps,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/std
1.6452555953110277,158000,161.0,,,,,,760,0.43742889165878296,0.3080168658751063,0.2,0.965283203125,243.87677245140077,35.832527,-3.032831893116236,0.0003,40.112998962402344,1.1059132814407349
1.7343946501714527,159000,161.0,,,,,,,,,,,,,,,,
,159104,,130.73520158,23,94.72,1656,28,,,,,,,,,,,
-48.25127607842951,160000,108.2,,,,,,770,0.044488728046417236,0.06386634259833954,0.2,0.597998046875,170.74223133325577,0.29027474,-3.0511761642992496,0.0003,56.61567687988281,1.1213319301605225
-48.15165854246588,161000,113.0,,,,,,,,,,,,,,,,
,161152,,81.03818843,24,92.87,1718,28,,,,,,,,,,,
-4.951587884550827,162000,160.8,,,,,,780,0.2120903730392456,0.02379629155038856,0.2,0.459033203125,111.4819266796112,0.053807937,-3.072078735381365,0.0003,50.487483978271484,1.1307072639465332
-3.452326127080596,163000,161.0,,,,,,,,,,,,,,,,
,163200,,46.43657659,25,98.36,1787,28,,,,,,,,,,,
0.7055130478809588,164000,161.0,,,,,,790,0.3367490768432617,0.01797393950109836,0.2,0.472314453125,43.50446683466434,0.07567833,-3.1041547849774362,0.0003,13.823455810546875,1.151208519935608
0.12538629175542154,165000,161.0,,,,,,,,,,,,,,,,
,165248,,36.974771389999994,26,111.76,1854,28,,,,,,,,,,,
4.126749547381769,166000,160.0,,,,,,800,0.4450634717941284,0.003405206592287868,0.2,0.40361328125,22.095990221202374,0.06252874,-3.1361754849553107,0.0003,5.675710678100586,1.1684508323669434
4.6565763124111985,167000,161.0,,,,,,,,,,,,,,,,
,167296,,27.9924541,27,125.01,1921,28,,,,,,,,,,,
-8.190241655219143,168000,161.2,,,,,,810,0.35128122568130493,0.00019364304607734085,0.2,0.38759765625,14.510481113940477,0.0788106,-3.1378350161015987,0.0003,3.2122128009796143,1.156080722808838
-9.286790749103238,169000,161.0,,,,,,,,,,,,,,,,
,169344,,13.59067199,28,138.2,1990,28,,,,,,,,,,,
-0.4262801086202671,170000,161.0,,,,,,820,0.4823078513145447,-0.010807614128862043,0.2,0.36435546875,11.764400365203619,0.043118708,-3.1345526963472365,0.0003,3.5687053203582764,1.1705422401428223
-0.5076406052663515,171000,161.0,,,,,,,,,,,,,,,,
,171392,,4.452314100000001,29,151.2,2058,28,,,,,,,,,,,
