time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/explained_variance,train/value_loss,train/policy_gradient_loss
72000,297.8624422948007,222.6,,,,,,57.571353912353516,0.413671875,350,0.2,-2.6681054435670375,0.0003,0.07285887,0.9203677177429199,0.5621365904808044,142.44369354248047,0.007344326918246225
73000,302.66875748445455,218.0,,,,,,,,,,,,,,,,
73728,,,36,30,2421,231.05528132999999,191.82,,,,,,,,,,,
74000,300.0267561510649,200.8,,,,,,13.530314445495605,0.447412109375,360,0.2,-2.6736887015402315,0.0003,0.07042754,0.9242640137672424,0.6889219582080841,86.86922714710235,0.013983171412837692
75000,298.94187536122047,196.4,,,,,,,,,,,,,,,,
75776,,,37,30,2488,246.15530472999998,202.33,,,,,,,,,,,
76000,39.08471627503968,41.0,,,,,,5.978325843811035,0.45625,370,0.2,-2.6856318563222885,0.0003,0.09702812,0.9290010929107666,0.8034873008728027,39.54570100605488,0.015467492956668138
77000,45.58505889349108,45.0,,,,,,,,,,,,,,,,
77824,,,38,30,2567,197.23929243999999,163.97,,,,,,,,,,,
78000,61.92709465100197,53.6,,,,,,116.26306915283203,0.406884765625,380,0.2,-2.693051190674305,0.0003,0.07708901,0.9303117990493774,0.2118757963180542,313.7477481365204,0.009574766128207558
79000,62.05497953151644,53.0,,,,,,,,,,,,,,,,
79872,,,39,30,2636,163.53842934,141.74,,,,,,,,,,,
80000,227.19572349044756,154.4,,,,,,48.344295501708984,0.396533203125,390,0.2,-2.692858072370291,0.0003,0.0522939,0.930577278137207,0.4607458710670471,172.9014683008194,0.0065768299769843
81000,210.61313885338603,138.8,,,,,,,,,,,,,,,,
81920,,,40,30,2702,149.90088931,131.51,,,,,,,,,,,
82000,237.09558763336608,186.8,,,,,,34.42658233642578,0.397021484375,400,0.2,-2.6941089257597923,0.0003,0.07102089,0.9312551021575928,0.6550501585006714,106.71831186413765,0.004564483289141208
83000,302.1856540420078,246.0,,,,,,,,,,,,,,,,
83968,,,41,30,2770,151.55364438,135.21,,,,,,,,,,,
84000,337.64104633307727,245.6,,,,,,25.940425872802734,0.440869140625,410,0.2,-2.6939304545521736,0.0003,0.10839327,0.9314110279083252,0.7141328752040863,52.13927206993103,0.005042811532621272
85000,332.42336520772517,233.6,,,,,,,,,,,,,,,,
86000,334.69712096927617,237.6,,,,,,,,,,,,,,,,
86016,,,42,30,2858,162.36168618,144.64,,,,,,,,,,,
87000,328.867797208971,174.8,,,,,,4.454586029052734,0.469775390625,420,0.2,-2.697062869369984,0.0003,0.12719981,0.9341760277748108,0.7180406153202057,27.970705894380806,0.009225354736554437
88000,334.1128057532093,177.2,,,,,,,,,,,,,,,,
88064,,,43,30,2924,172.56926156999998,146.75,,,,,,,,,,,
89000,299.55862324035553,196.4,,,,,,35.724422454833984,0.464501953125,430,0.2,-2.711082358658314,0.0003,0.09221359,0.9405171871185303,0.875252790749073,25.603438160568476,0.0068065448460401965
90000,282.6215723924121,186.0,,,,,,,,,,,,,,,,
90112,,,44,30,2990,169.97968862999997,146.45,,,,,,,,,,,
91000,306.7100179944391,160.4,,,,,,10.413764953613281,0.45859375,440,0.2,-2.7261063061654567,0.0003,0.10098854,0.9503843784332275,0.7676501572132111,71.81696324050426,0.001217494778393302
92000,293.5775769108266,150.8,,,,,,,,,,,,,,,,
92160,,,45,30,3053,188.69131651,156.8,,,,,,,,,,,
93000,335.60331746629674,233.8,,,,,,2.7750954627990723,0.452685546875,450,0.2,-2.7361859627068044,0.0003,0.12624127,0.9506831169128418,0.8899340182542801,30.60145549625158,0.007631980589940213
94000,350.14566285675465,240.2,,,,,,,,,,,,,,,,
94208,,,46,30,3123,209.91752658,172.39,,,,,,,,,,,
95000,360.19690247964536,214.2,,,,,,3.4496564865112305,0.380029296875,460,0.2,-2.7321252591907976,0.0003,0.06798458,0.9482959508895874,0.7972895801067352,36.19675925076008,0.0022075507731642574
96000,351.2966740479293,196.4,,,,,,,,,,,,,,,,
96256,,,47,30,3189,228.07654995000001,186.26,,,,,,,,,,,
97000,361.5487446533145,255.2,,,,,,3.158453941345215,0.4638671875,470,0.2,-2.742516217380762,0.0003,0.08023977,0.9614410400390625,0.9214959815144539,18.491327076405287,0.0053680289362091575
98000,407.36676059896706,290.6,,,,,,,,,,,,,,,,
98304,,,48,30,3262,255.48029527999995,206.67,,,,,,,,,,,
99000,449.1538529480131,396.2,,,,,,1.4535417556762695,0.4306640625,480,0.2,-2.7632164277136324,0.0003,0.040925898,0.965596616268158,0.9464089833199978,12.884169503301383,0.007659022038569674
100000,371.93451491824817,294.0,,,,,,,,,,,,,,,,
100352,,,49,30,3342,270.06588912,220.32,,,,,,,,,,,
101000,130.0198267557971,180.2,,,,,,11.309412956237793,0.429296875,490,0.2,-2.76437616199255,0.0003,0.07527062,0.9637051224708557,0.8351996690034866,46.23718339055777,-0.001185222709318623
102000,126.99338603876167,208.2,,,,,,,,,,,,,,,,
102400,,,50,30,3410,276.17516866,230.46,,,,,,,,,,,
103000,214.27543103555362,207.6,,,,,,12.19108772277832,0.396533203125,500,0.2,-2.7654039546847344,0.0003,0.071874276,0.9686126708984375,0.3892015218734741,130.4764822244644,0.0035565537109505385
104000,206.97709925655363,212.6,,,,,,,,,,,,,,,,
104448,,,51,30,3480,287.37542054,242.85,,,,,,,,,,,
105000,231.57672575429532,197.0,,,,,,2.23748517036438,0.490185546875,510,0.2,-2.7704291850328446,0.0003,0.12328783,0.9673320055007935,0.6408296227455139,50.92508425712585,0.009389028880104889
106000,230.49288522664793,195.2,,,,,,,,,,,,,,,,
106496,,,52,30,3547,288.01701287,246.29,,,,,,,,,,,
107000,303.90517084699314,267.0,,,,,,2.9391121864318848,0.455908203125,520,0.2,-2.7658232755959036,0.0003,0.08059725,0.9645156860351562,0.8639077395200729,35.16649767011404,-0.0016072537488071247
108000,296.6881556384331,240.2,,,,,,,,,,,,,,,,
108544,,,53,29,3620,290.76376447999996,247.84,,,,,,,,,,,
109000,380.1950224752589,231.2,,,,,,8.04771900177002,0.472802734375,530,0.2,-2.761956226080656,0.0003,0.104454726,0.9643460512161255,0.8921477049589157,25.936412760615347,-0.004254800578928552
110000,383.2722939331288,282.4,,,,,,,,,,,,,,,,
110592,,,54,29,3691,299.47097502,249.98,,,,,,,,,,,
111000,506.12380296022604,305.0,,,,,,5.4234418869018555,0.5310546875,540,0.2,-2.7622295282781124,0.0003,0.11443286,0.9687016010284424,0.8817465081810951,26.473957794159652,0.025027812441112473
112000,582.8273297651365,339.6,,,,,,,,,,,,,,,,
112640,,,55,29,3770,300.99310682,250.89,,,,,,,,,,,
113000,414.1934771683089,230.8,,,,,,2.4062185287475586,0.47099609375,550,0.2,-2.756904897838831,0.0003,0.205078,0.9576318264007568,0.8469233959913254,38.642247541993854,0.0004212412139168009
114000,496.0912624782271,276.0,,,,,,,,,,,,,,,,
114688,,,56,29,3843,308.50859141999996,249.99,,,,,,,,,,,
115000,385.44355912362954,259.2,,,,,,2.6081223487854004,0.476708984375,560,0.2,-2.7382335349917413,0.0003,0.14229284,0.9474953413009644,0.8871391788125038,37.04586290121078,-0.004076414878363721
116000,387.612476194444,223.6,,,,,,,,,,,,,,,,
116736,,,57,29,3912,313.70268461,253.97,,,,,,,,,,,
117000,224.54890563195804,197.4,,,,,,2.2805135250091553,0.521826171875,570,0.2,-2.7307616241276262,0.0003,0.14545047,0.9501188397407532,0.9409181848168373,17.68236813247204,0.006964154323213734
118000,215.4700284137667,196.6,,,,,,,,,,,,,,,,
118784,,,58,29,3982,299.79681592,248.3,,,,,,,,,,,
119000,254.35892338632328,216.4,,,,,,10.708276748657227,0.52109375,580,0.2,-2.7384173534810543,0.0003,0.13818079,0.9559400677680969,0.6206585466861725,87.33262180387973,0.011478047011769377
120000,285.1068716941212,246.4,,,,,,,,,,,,,,,,
120832,,,59,29,4052,290.21550188,244.22,,,,,,,,,,,
121000,211.9144459954361,218.6,,,,,,6.976065158843994,0.502490234375,590,0.2,-2.753073362261057,0.0003,0.09836294,0.968716025352478,0.861269161105156,37.832545989751814,0.021560624631820246
122000,180.60803791153157,191.6,,,,,,,,,,,,,,,,
122880,,,60,29,4120,277.38272191,239.13,,,,,,,,,,,
123000,108.19996595654884,170.8,,,,,,12.619061470031738,0.47548828125,600,0.2,-2.7792199924588203,0.0003,0.056398876,0.9804891347885132,0.7622531056404114,56.49312754571438,0.015440066930023023
124000,85.39973000490572,169.0,,,,,,,,,,,,,,,,
124928,,,61,29,4186,265.29719852999995,232.75,,,,,,,,,,,
125000,256.4118690531774,274.8,,,,,,17.53270149230957,0.51181640625,610,0.2,-2.8005798287689685,0.0003,0.23375477,0.988564670085907,0.6653014123439789,61.45319980978966,0.01599361725093331
126000,242.30319964543816,266.6,,,,,,,,,,,,,,,,
126976,,,62,29,4261,266.20479515,236.89,,,,,,,,,,,
127000,-28.70799416063601,49.8,,,,,,35.30112838745117,0.84482421875,620,0.2,-2.8141658015549185,0.0003,14.720097,0.9954975843429565,0.8593175560235977,73.9078247576952,0.17019793232902886
128000,-29.114949188380706,50.4,,,,,,,,,,,,,,,,
129000,-29.16007879765457,50.6,,,,,,,,,,,,,,,,
129024,,,63,29,4356,141.53102598,163.74,,,,,,,,,,,
130000,-52.96830602087357,70.4,,,,,,38.870513916015625,0.74130859375,630,0.2,-2.8053404673933984,0.0003,3.9631412,0.9712504148483276,0.4821487069129944,101.29417530968786,0.039488831875496545
131000,-53.04185829811104,70.6,,,,,,,,,,,,,,,,
131072,,,64,29,4422,65.66051734,139.78,,,,,,,,,,,
132000,149.93207536203408,240.2,,,,,,3.4362595081329346,0.73134765625,640,0.2,-2.754696699976921,0.0003,7.769167,0.9352484941482544,0.2717052698135376,31.410716266185045,-0.016940635358332658
133000,50.55387126958885,161.4,,,,,,,,,,,,,,,,
133120,,,65,29,4492,49.839476829999995,135.98,,,,,,,,,,,
134000,322.6889110328208,259.0,,,,,,2.0875887870788574,0.491015625,650,0.2,-2.7015977188944817,0.0003,0.11886139,0.9283573627471924,0.33998727798461914,11.12680922113359,-0.007405944826314226
135000,301.055733294681,224.8,,,,,,,,,,,,,,,,
135168,,,66,29,4565,48.583427949999994,135.33,,,,,,,,,,,
136000,334.03928502605777,253.6,,,,,,6.774609565734863,0.417919921875,660,0.2,-2.6732643961906435,0.0003,0.053267717,0.9175336360931396,0.6143888533115387,23.198987974971534,-0.003228537109680474
137000,297.7327502735869,259.2,,,,,,,,,,,,,,,,
137216,,,67,29,4639,53.519883160000006,135.92,,,,,,,,,,,
