train/ent_coef,rollout/ep_len_mean,time/total_timesteps,time/fps,train/critic_loss,train/n_updates,train/ent_coef_loss,time/episodes,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_ep_length,eval/mean_reward
0.30982649326324463,130.65,384674,9,1.3464432954788208,384571,-0.09644439071416855,3480,-88.51449584960938,228.22253462,18330,0.0003,,
0.30882784724235535,126.87,384997,9,1.5124396085739136,384894,0.06790057569742203,3484,-87.86293029785156,220.95343154,18345,0.0003,,
0.30884450674057007,,385000,,1.4375550746917725,384897,0.22206668555736542,,-91.13650512695312,,,0.0003,453.2,860.674123762206
0.30996018648147583,127.91,385473,9,1.4448407888412476,385370,-0.060580018907785416,3488,-91.51111602783203,223.27651514000001,18395,0.0003,,
0.30668628215789795,127.85,385831,9,1.5148166418075562,385728,0.07334165275096893,3492,-88.1813735961914,223.46636262,18411,0.0003,,
0.30741244554519653,,386000,,1.4308521747589111,385897,-0.18629315495491028,,-89.40048217773438,,,0.0003,2277.8,4776.418400421644
0.30907300114631653,126.2,386213,9,1.692517876625061,386110,0.08075166493654251,3496,-87.46804809570312,220.34084801,18549,0.0003,,
0.30957722663879395,125.01,386711,9,1.6903424263000488,386608,0.0932534858584404,3500,-89.45220947265625,218.73835445,18569,0.0003,,
0.309474378824234,,387000,,1.554970383644104,386897,0.04665641114115715,,-90.21772766113281,,,0.0003,1844.4,3615.862260751043
0.3078092038631439,127.33,387361,9,1.4445552825927734,387258,0.12301954627037048,3504,-87.72116088867188,223.31672358999992,18693,0.0003,,
0.30741509795188904,124.64,387770,9,1.5669069290161133,387667,0.04550940543413162,3508,-86.6719970703125,218.90040342,18711,0.0003,,
0.30857381224632263,,388000,,1.6715854406356812,387897,-0.09825517237186432,,-87.24034881591797,,,0.0003,1299.8,2593.933048259229
0.3082583248615265,125.02,388294,9,1.5828555822372437,388191,-0.003905288875102997,3512,-87.49654388427734,219.36731018000003,18804,0.0003,,
0.30820539593696594,123.01,388799,9,1.6012392044067383,388696,0.13791382312774658,3516,-86.3695068359375,215.73226046000002,18825,0.0003,,
0.30625176429748535,,389000,,1.5435768365859985,388897,-0.09590481221675873,,-88.31809997558594,,,0.0003,1401.2,2919.9747747423935
0.30541807413101196,127.73,389747,9,1.5919355154037476,389644,0.054607972502708435,3520,-89.34757995605469,224.82007542000002,18936,0.0003,,
0.30605795979499817,125.92,389975,9,1.6061298847198486,389872,0.3001323938369751,3524,-87.27461242675781,221.44514828000004,18948,0.0003,,
0.3067248463630676,,390000,,1.6375372409820557,389897,-0.3850071430206299,,-88.67422485351562,,,0.0003,948.6,1863.6438374607344
0.3006538152694702,124.01,390301,9,1.492968201637268,390198,-0.29020214080810547,3528,-86.9478759765625,217.99359958000002,19017,0.0003,,
0.3010021150112152,120.58,390649,9,1.5758494138717651,390546,0.1275651752948761,3532,-86.63592529296875,210.82865016,19033,0.0003,,
0.3003182113170624,,391000,,1.4436583518981934,390897,-0.017011694610118866,,-87.06060791015625,,,0.0003,1119.4,2258.276126048894
0.30277618765830994,121.86,391243,9,1.654534935951233,391140,0.1457129418849945,3536,-86.1623764038086,213.81923316999996,19119,0.0003,,
0.2973219156265259,120.79,391545,9,1.4110482931137085,391442,0.12717562913894653,3540,-89.18934631347656,211.83225008999997,19133,0.0003,,
0.2997289299964905,,392000,,1.561625599861145,391897,0.04090844467282295,,-88.20579528808594,,,0.0003,950.2,1954.291917599999
0.3028191924095154,121.25,392221,9,1.5315968990325928,392118,-0.14170098304748535,3544,-89.12478637695312,212.71055131999998,19214,0.0003,,
0.30226603150367737,119.93,392559,9,1.65432870388031,392456,0.11064835637807846,3548,-87.94314575195312,209.97169429,19229,0.0003,,
0.298613578081131,118.49,392959,9,1.7651255130767822,392856,-0.12528632581233978,3552,-86.49251556396484,207.29384679000003,19246,0.0003,,
0.2982840836048126,,393000,,1.4041978120803833,392897,-0.13650508224964142,,-87.64828491210938,,,0.0003,1849.0,3754.882145764801
0.298442006111145,118.62,393411,9,1.5766795873641968,393308,-0.0909903421998024,3556,-88.27638244628906,207.52842831000007,19365,0.0003,,
0.3001323640346527,116.37,393930,9,1.4884508848190308,393827,0.000778689980506897,3560,-87.52061462402344,202.72859502,19386,0.0003,,
0.300479531288147,,394000,,1.596457839012146,393897,0.06819378584623337,,-86.45249938964844,,,0.0003,903.2,1725.5794054471212
0.2998657822608948,116.16,394358,9,1.494616150856018,394255,0.004976876080036163,3564,-87.67676544189453,202.14142555,19456,0.0003,,
0.2983587384223938,,395000,,1.4760072231292725,394897,-0.22361209988594055,,-90.09927368164062,,,0.0003,1608.4,3304.276895114925
0.29830580949783325,120.06,395115,9,1.4652129411697388,395012,-0.06755706667900085,3568,-86.48208618164062,208.23991588,19572,0.0003,,
0.298607736825943,117.21,395450,9,1.5630967617034912,395347,-0.11445275694131851,3572,-86.31427001953125,202.25266341000005,19587,0.0003,,
0.2990344762802124,,396000,,1.4259856939315796,395897,-0.0440748929977417,,-87.02064514160156,,,0.0003,1779.2,3609.0321834936394
0.30104684829711914,122.4,396467,9,1.6555445194244385,396364,0.2107221931219101,3576,-85.78874206542969,211.4265645,19720,0.0003,,
0.2974480986595154,,397000,,1.7124629020690918,396897,-0.11347006261348724,,-87.23970031738281,,,0.0003,1518.4,3020.553539568378
