train/n_updates,time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/critic_loss,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
19482,14,-37.51674271,89.4886481,55.15,19583,372,0.4006659984588623,1358,0.0003,-0.055449784,0.05935679,,
19753,14,-38.04275513,88.90309430999997,55.88,19854,376,0.39556077122688293,1371,0.0003,0.096907049,0.060284987,,
19899,,-39.70092773,,,20000,,0.3881149888038635,,0.0003,0.32954955101013184,0.061313603073358536,175,195.5957466844149
20126,14,-38.72844696,91.25859003000001,58.04,20227,380,0.4552609622478485,1403,0.0003,-0.236877978,0.062383465468883514,,
20444,14,-39.32986069,91.41545135999999,59.59,20545,384,0.4544764757156372,1418,0.0003,0.4173767864704132,0.064473107,,
20702,14,-38.82447815,92.48241070999998,60.48,20803,388,0.4548003375530243,1430,0.0003,0.10313005745410919,0.065940201,,
20899,,-37.66774368,,,21000,,0.4201865494251251,,0.0003,-0.031513602,0.066615857,226.4,258.56453375583004
20976,14,-41.46774673,93.43479778,61.34,21077,392,0.4035230278968811,1462,0.0003,-0.252567828,0.066736743,,
21369,14,-40.87598801,94.39772611999999,63.23,21470,396,0.4632713794708252,1478,0.0003,-0.72165978,0.067053095,,
21666,14,-41.08903885,95.95430050000003,64.61,21767,400,0.45568975806236267,1492,0.0003,0.5848668813705444,0.067060336,,
21890,14,-40.98501587,95.81270044000001,65.07,21991,404,0.4598660469055176,1504,0.0003,0.22749745845794678,0.067162246,,
21899,,-41.47367096,,,22000,,0.4467265009880066,,0.0003,-0.040681548,0.067193046,188.8,206.49033337936197
22263,14,-43.02509689,96.46255397,67.1,22364,408,0.44407087564468384,1536,0.0003,0.2205064594745636,0.067719497,,
22653,14,-42.99733353,96.15136304999999,69.26,22754,412,0.4752790629863739,1553,0.0003,-0.128617048,0.069043607,,
22899,,-41.01189423,,,23000,,0.5142252445220947,,0.0003,-0.020638734,0.068988845,197.4,204.81772858167022
23073,14,-44.68182373,97.66109794000002,71.89,23174,416,0.4080251157283783,1587,0.0003,-0.686634839,0.069315568,,
