eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/std,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/policy_gradient_loss
,,26624,152.50789423,29,13,151.78,888,,,,,,,,,,,
138.6,256.37177964529985,27000,,,,,,0.9705208539962769,-2.7769268855452536,12.799226760864258,130,0.8663745671510696,0.2,40.31695598661899,0.025626976,0.329541015625,0.0003,0.006959130297764205
139.4,261.78087320434827,28000,,,,,,,,,,,,,,,,
,,28672,158.79945084000002,29,14,150.81,956,,,,,,,,,,,
192.0,330.6742560806582,29000,,,,,,0.9712250828742981,-2.7760356217622757,14.44369125366211,140,0.8302717059850693,0.2,47.84850329756737,0.05489928,0.417236328125,0.0003,0.009666031811502763
163.2,291.2557165122336,30000,,,,,,,,,,,,,,,,
,,30720,167.71018553000002,29,15,155.15,1024,,,,,,,,,,,
295.4,409.36890480618547,31000,,,,,,0.9703328013420105,-2.7763242296874524,16.913660049438477,150,0.8374558240175247,0.2,49.436628964543345,0.046437077,0.38017578125,0.0003,0.009776787643204443
295.4,409.8979707847117,32000,,,,,,,,,,,,,,,,
,,32768,178.66294308999997,29,16,163.88,1100,,,,,,,,,,,
285.4,402.8762764379815,33000,,,,,,0.9631778001785278,-2.7687049716711045,13.410746574401855,160,0.8152380138635635,0.2,37.11448519676924,0.051011156,0.374658203125,0.0003,0.012682246151962317
287.4,403.8074824164436,34000,,,,,,,,,,,,,,,,
,,34816,186.34820118,29,17,171.41,1177,,,,,,,,,,,
256.6,411.73551377486075,35000,,,,,,0.9587768316268921,-2.7538005985319614,5.386846542358398,170,0.8930591866374016,0.2,29.131273892521858,0.044422947,0.3966796875,0.0003,0.007411423581652343
254.4,406.5132363728768,36000,,,,,,,,,,,,,,,,
,,36864,196.06860537,29,18,178.68,1251,,,,,,,,,,,
230.2,400.83523732795254,37000,,,,,,0.956132173538208,-2.745510026067495,4.876321792602539,180,0.8819030001759529,0.2,28.21131656318903,0.10707035,0.460791015625,0.0003,0.022013128094840795
230.0,400.9363358944829,38000,,,,,,,,,,,,,,,,
,,38912,208.02054411,29,19,183.46,1322,,,,,,,,,,,
281.8,406.81515015951044,39000,,,,,,0.9561682939529419,-2.746958826482296,7.821083068847656,190,0.8529961705207825,0.2,30.541443020105362,0.09487419,0.411279296875,0.0003,0.023892509221332146
279.0,406.5697680245332,40000,,,,,,,,,,,,,,,,
,,40960,222.74088619999998,29,20,191.82,1399,,,,,,,,,,,
240.2,414.3715790060913,41000,,,,,,0.9530017375946045,-2.7431781463325025,5.465045928955078,200,0.9203809425234795,0.2,32.50778018981218,0.03806328,0.42548828125,0.0003,0.020833082500030287
239.2,409.53577399321296,42000,,,,,,,,,,,,,,,,
243.2,418.5653969796869,43000,,,,,,,,,,,,,,,,
,,43008,235.83553267,28,21,196.33,1491,,,,,,,,,,,
340.8,653.5193783062663,44000,,,,,,0.9426374435424805,-2.728290620446205,9.068709373474121,210,0.9122186154127121,0.2,35.43823194205761,0.123431176,0.379833984375,0.0003,0.009185632164007983
340.4,672.5307123210583,45000,,,,,,,,,,,,,,,,
,,45056,244.45774389,28,22,197.45,1576,,,,,,,,,,,
257.2,439.628306801321,46000,,,,,,0.9401997923851013,-2.7124148920178413,12.6470947265625,220,0.8971048668026924,0.2,37.15431138575077,0.05124852,0.40048828125,0.0003,0.020364426988817286
617.2,1048.9382864285162,47000,,,,,,,,,,,,,,,,
,,47104,250.48402771000002,28,23,202.47,1671,,,,,,,,,,,
719.4,899.3637241259112,48000,,,,,,0.9413978457450867,-2.71125765517354,5.479687690734863,230,0.9067360237240791,0.2,30.31749224215746,0.061484396,0.45341796875,0.0003,0.019587077703909016
589.0,712.084399572697,49000,,,,,,,,,,,,,,,,
,,49152,257.13250509,27,24,209.05,1790,,,,,,,,,,,
218.2,228.2866476235191,50000,,,,,,0.9398348331451416,-2.7102189168334005,4.768409252166748,240,0.8762641698122025,0.2,32.227411173284054,0.12839553,0.4759765625,0.0003,0.017646247867378406
196.4,205.3966354845088,51000,,,,,,,,,,,,,,,,
,,51200,268.68486823,27,25,219.07,1856,,,,,,,,,,,
161.0,-0.9967658240715537,52000,,,,,,0.9563437700271606,-2.7215008519589903,5.072583198547363,250,0.9104810878634453,0.2,17.569830940663813,61.322975,0.6755859375,0.0003,0.157873621978797
