time/episodes,train/ent_coef,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/fps,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
,0.05149830877780914,0.0003,,21000,1.186040997505188,-0.0272664874792099,,20899,-47.1466064453125,,,282.5749709527878,265.2
308,0.05267377197742462,0.0003,107.3,21306,1.437272310256958,0.23678120970726013,15,21205,-50.75687789916992,108.28090191,1343,,
312,0.054988447576761246,0.0003,107.59,21664,1.0657272338867188,0.825579047203064,15,21563,-48.48712921142578,108.00742689,1358,,
,0.05538512021303177,0.0003,,22000,2.331684112548828,0.25771909952163696,,21899,-47.297000885009766,,,288.3228957378513,266.2
316,0.056016743183135986,0.0003,108.5,22124,1.2662076950073242,0.8704308271408081,15,22023,-48.920318603515625,108.31561786000002,1396,,
320,0.05599970370531082,0.0003,109.62,22564,1.418313980102539,0.020340338349342346,15,22463,-49.23060607910156,108.88101578000001,1414,,
,0.05598649010062218,0.0003,,23000,1.2741367816925049,-0.9140898585319519,,22899,-52.568206787109375,,,329.70282447709144,273.2
324,0.05630800500512123,0.0003,111.62,23122,1.2321887016296387,0.30874019861221313,15,23021,-49.618263244628906,110.27921715000001,1456,,
328,0.05607800930738449,0.0003,112.89,23613,1.2556393146514893,0.25918084383010864,16,23512,-49.08268737792969,111.55166774000001,1474,,
,0.054975613951683044,0.0003,,24000,1.688668966293335,0.4952222406864166,,23899,-48.42925262451172,,,313.1779658159827,274.0
332,0.05492671951651573,0.0003,114.52,24123,3.885815143585205,0.3729401230812073,15,24022,-47.862640380859375,113.45482961000002,1515,,
336,0.05478280410170555,0.0003,114.63,24555,3.2145562171936035,-0.4213966727256775,16,24454,-50.04536437988281,113.46894973,1532,,
,0.0546732023358345,0.0003,,25000,0.9915242195129395,-0.30536502599716187,,24899,-52.51885986328125,,,314.84508075871383,274.0
340,0.05435362085700035,0.0003,116.98,25123,1.1805200576782227,-0.43506401777267456,15,25022,-49.89710998535156,115.75447117,1574,,
344,0.05403101071715355,0.0003,118.73,25614,1.2457696199417114,-0.10808761417865753,16,25513,-51.98739242553711,116.72892887,1593,,
,0.054264456033706665,0.0003,,26000,1.2870672941207886,-0.2972452640533447,,25899,-49.291595458984375,,,303.9146017006653,277.2
348,0.054217271506786346,0.0003,118.5,26060,1.5570178031921387,0.2005130648612976,15,25959,-48.56980514526367,116.74510323,1632,,
352,0.05426403135061264,0.0003,119.52,26551,1.2197402715682983,0.25512832403182983,16,26450,-49.62397766113281,117.45674052000003,1650,,
,0.054380036890506744,0.0003,,27000,1.7807223796844482,-0.12742120027542114,,26899,-47.885372161865234,,,294.10538214532426,271.6
356,0.05452130734920502,0.0003,121.94,27123,1.8501776456832886,0.932328462600708,16,27022,-48.48152160644531,119.59899320000001,1692,,
